decade,track_count,avg_popularity
1920,5126,1.304
1930,9549,2.537
1940,15378,1.876
1950,19850,10.692
1960,19549,26.552
1970,20000,35.056
1980,19850,37.523
1990,19901,44.192
2000,19646,49.734
2010,19774,57.643
2020,2030,64.302
